"","dist","mean_len","mean_num","sd_len","sd_num"
"1",0,14285.957196,14113,NA,NA
"2",1,14028.1316287931,3089,9.57123952343192,0
"3",2,13893.1528361444,2307,14.1246530473687,0
"4",5,13440.8024697439,1424,11.7408396352736,0
"5",10,12922.0945127957,922,22.5727370382621,0
"6",15,12646.0690057378,691,40.2541466421663,0
"7",20,12485.627662721,559,31.1060860375497,0
"8",25,12322.2775523664,470,44.9402422998473,0
"9",30,12163.2991419466,402,35.0007170927086,0
"10",35,12144.8511081482,350,57.2792780752742,0
"11",40,11952.4243519054,314,30.2622893912206,0
"12",45,12118.3177086496,283,52.9605708848949,0
"13",50,11992.4030294946,257,48.8900093154656,0
